start	end	text
341	1281	Hello, everyone.
1581	9243	Welcome back to English Podcast 1314, the best place to learn English and grow every day.
9263	12824	I'm Mia, and here is my great friend, Leo.
13244	13704	Hi, Leo.
13924	14625	How are you today?
14645	15725	Hey, Mia.
15825	16565	I'm doing great.
17045	19286	I have a lot of energy for today's topic.
19586	20026	How about you?
20726	21486	I'm doing well.
21586	21946	Thanks.
22647	24187	So what are we talking about today?
24787	28488	Today, we're talking about something simple but powerful.
29045	30586	Your daily routine.
31346	31706	Yes.
32187	36208	The small things we do every day can really influence how we feel.
36909	37469	Exactly.
38009	41191	Your routine can make you feel calm or stressed.
41691	44913	It can also help you learn English step by step.
45613	49895	And the best part is you don't need a perfect life to have a good routine.
50335	51916	You just need small habits.
52637	53157	That's right.
53537	56038	In this episode, we'll share our routines.
56418	59259	Morning, afternoon, evening, and night.
59860	64721	We'll also give you easy English sentences you can copy and use in real life.
65482	67543	And we have something special today.
67983	71084	We made a free PDF to go with this episode.
71744	77166	It has the key ideas, simple questions, and a few grammar and speaking exercises.
77926	82188	So if you want extra practice, check the PDF after the episode.
82826	83126	Great.
83666	90508	Also, we'll use some useful words again and again, like focus, prioritize, and recharge.
91328	96849	And at the end, we'll do a vocabulary review with about 10 words from today's talk.
97449	97849	Perfect.
98269	99610	Ready to start with the morning?
100450	100770	Yes.
101210	106971	Let's begin with the morning routine, because mornings often set the tone for the whole day.
107671	110872	Okay, Leo, what time do you wake up on weekdays?
111624	112444	Usually around 6.30.
113585	115046	Not too early, not too late.
115706	116167	Same here.
116687	120089	When I wake up, I try not to touch my phone right away.
120709	121209	Me too.
121770	125652	If I check messages immediately, my brain becomes noisy.
126372	127032	Exactly.
127052	129073	I want a peaceful start.
129534	133916	So first, I sit up slowly and take three deep breaths.
134636	135457	That sounds nice.
136017	137358	It helps you focus, right?
138050	141652	Yes, I just think, inhale, exhale.
142232	144073	It takes maybe 30 seconds.
144774	146055	My first step is simple.
146555	148516	I open the window for fresh air.
149236	150177	Oh, I like that.
150697	153119	Fresh air can make you feel more awake.
153779	155620	Then I drink a glass of water.
156180	158442	After sleeping, my body feels dry.
159142	159462	Same.
160003	162024	Water is my first drink too.
162524	164105	It helps me feel refreshed.
164774	168676	Listeners, you can say, I drink a glass of water in the morning.
169337	170057	Great sentence.
170738	173819	After water, I go to the bathroom and wash my face.
174500	175961	Cold water or warm water?
176781	180323	Usually cool water, not ice cold, just cool.
180864	182084	It wakes me up gently.
182785	184386	I brush my teeth right away.
184806	185687	It's like a signal.
186027	187748	Okay, the day starts now.
188554	188794	True.
189414	191435	After that, I do a short stretch.
191936	194997	Nothing hard, just my neck, shoulders, and back.
195738	197078	I do a little stretch, too.
197599	199459	If I don't, my body feels tight.
200200	202941	And stretching is also good English practice.
203421	206363	You can say, I stretch for five minutes.
207163	209204	Or I stretch my legs and my arms.
209484	210085	Very simple.
210845	212666	After stretching, I make the bed.
213306	213586	Really?
213887	214267	Every day?
214983	215844	Almost every day.
216424	220706	A made bed makes the room feel clean and my mind feels calm.
221327	222247	That's a nice idea.
222888	224669	My next step is a quick shower.
225369	226930	Morning shower is great.
227290	228551	Do you take a long shower?
229251	230032	No, short.
230232	231853	Maybe five to seven minutes.
232053	232953	I don't want to waste time.
233654	236155	After I wash up, I think about breakfast.
236616	239137	For me, breakfast is small but steady.
239697	240618	What do you usually eat?
241359	245162	Often oatmeal, yogurt, fruit, or toast with eggs.
245703	246464	Nothing fancy.
247124	248105	Same style for me.
248525	251108	I like eggs, toast, and maybe a banana.
251788	254050	While I eat, I try to be present.
254511	255772	I don't scroll a lot.
256352	257874	That's a mindful breakfast.
258554	258835	Yes.
259455	262578	Mindful means you pay attention to the moment.
263018	264139	You taste the food.
264540	265561	You feel your body.
266193	266713	I like that.
267274	269515	I also play quiet music sometimes.
269755	271996	It can influence my mood in a good way.
272696	273177	Exactly.
273697	276078	Music can change the feeling in the room.
276799	280561	After breakfast, I look at my day and choose my top tasks.
281381	281701	Yes.
282142	284023	This is when I prioritize.
284683	288105	Prioritize means choose what is most important first.
288905	289125	Right.
289625	294008	I ask myself, what are the three most important tasks today?
294672	296393	And you don't need ten tasks.
296733	298054	Three is enough to start.
298794	299354	Exactly.
299934	301095	Then I write them down.
301615	303636	Writing helps my brain relax.
304376	305417	I do something similar.
305777	308158	I make a short plan, not a long plan.
308838	312240	Also, listeners, here are two useful sentences.
312880	315081	Today, I want to finish my work.
315801	318823	Today, I want to practice English for ten minutes.
319583	319883	Nice!
320503	323565	And you can also say, my first task is...
324287	329731	Good, now one more morning habit I love, a short walk, even five minutes.
330471	333993	Yes, a small walk gives you light and fresh air.
334614	336975	And it helps you feel ready to work or study.
337636	339737	Okay, so that's our morning routine.
340197	345761	Breathe, water, wash, stretch, breakfast, and a small plan.
346521	350444	Simple, small steps, but they can shape the whole day.
351198	355360	Now let's move on to the afternoon, because afternoons can be tricky.
355981	358802	Leo, do you ever feel tired in the afternoon?
359463	360103	All the time.
360523	362644	That's the famous afternoon slump.
363425	363765	Yes.
364365	368407	Slump means you suddenly feel low energy and slow.
369068	373170	For me, the slump often comes around 2 p.m. or 3 p.m.
373870	374151	Same.
374651	376432	So what do you do to handle it?
377166	379467	First, I try to eat a balanced lunch.
379927	382569	If I eat too much fried food, I feel sleepy.
383309	383649	Same.
384190	388592	I try to have rice or bread plus protein plus vegetables.
389292	392794	Listeners, you can say, I eat a balanced lunch.
393515	393815	Great.
394475	397977	After lunch, I do one short thing before I sit down again.
398697	399138	Like what?
399698	403940	A short walk, or I clean the table, or I wash a few dishes.
404360	405601	It helps my body move.
406453	408334	Movement helps you wake up again.
408974	410934	Yes, and it also helps digestion.
411474	413115	Then I sit down and work.
413895	418677	In the afternoon, I use a simple method, work in short blocks.
419397	421617	Like 25 minutes and then a short break?
422338	422818	Exactly.
423418	426659	I work 25 minutes, then break 5 minutes.
427319	430380	During the break, I stand up and stretch my shoulders.
431300	433601	I also drink water, or I make tea.
434369	438052	A warm drink can feel calming and it can help you recharge.
438812	441475	Recharge means get your energy back.
442175	442415	Right.
442956	445257	And during breaks, I try to be mindful.
445958	447920	So you don't scroll mindlessly?
448600	449301	Exactly.
449701	452283	I don't want my break to become a stress break.
453044	453544	Good point.
453984	457047	Sometimes social media makes the slump worse.
457767	458188	Yes.
458688	460549	So I choose a clean break.
461050	463772	I look out the window or do slow breathing.
464514	466656	Let's give listeners a simple phrase.
467317	468818	I take a short break.
469519	471781	And another, I need to recharge.
472541	472842	Nice.
473442	476565	Also, I prioritize again in the afternoon.
477225	478186	You do it twice?
478927	482310	Yes, because mornings and afternoons can be different.
482991	485373	True, sometimes new tasks appear.
486133	490838	So I ask, what is the most important thing to finish before dinner?
491465	492045	That's smart.
492626	494587	One clear goal helps you focus.
495347	497889	And focus is hard when you feel tired.
498570	498930	Yes.
499370	500771	So I also try this.
501231	504413	I do the easiest task first, just to start moving.
505094	505974	That's a nice trick.
506435	508576	Starting is often the hardest part.
509276	509877	Exactly.
510297	511718	Once you start, you feel better.
512418	514480	Another thing that helps me is sunlight.
514960	517722	If possible, I step outside for two minutes.
518440	520301	Yes, even two minutes can help.
520842	523184	When I come back, I feel a little more awake.
523924	527247	Now let's talk about language practice in the afternoon.
527907	528468	Good idea.
528948	531350	Many people want to practice, but they forget.
532070	533952	So here's a small routine.
534492	537715	Choose one sentence and repeat it five times.
538455	542458	For example, I'm feeling a little tired, so I will take a break.
543199	543920	Great sentence.
544720	546462	Or I will focus for 20 minutes.
547502	547802	Nice!
548422	550763	Small practice, but daily practice.
551503	554804	And daily practice influences your progress a lot.
555564	556244	Exactly.
556725	559025	Your English grows little by little.
559805	568988	Okay, so afternoon tips are balanced lunch, short movement, clear priorities, mindful breaks, and recharge time.
569734	570234	Perfect.
570815	577341	Now let's go to the evening routine because evenings help us change from work mode to rest mode.
578021	580063	Leo, what do you do after work?
580724	582785	The first thing I do is a quick review.
583546	585067	Like checking what you finished?
585708	586008	Yes.
586429	589872	I look at my list and I say, okay, I did these things.
590612	591373	That's important.
591693	593395	It gives you a small win.
594115	596818	And if something is not finished, I move it to tomorrow.
597533	597813	Great!
598334	600396	That helps your brain stop worrying.
601036	601417	Yes.
601937	603499	Then I need a transition.
604239	608103	Transition means a change from one activity to another.
608783	609284	Exactly.
609824	615269	If I finish work and jump straight into dinner with no break, I still feel like I'm working.
615990	618012	So what transition do you like?
618733	623137	A short walk, or light exercise, or even changing clothes.
623898	625438	I love changing clothes too.
625979	628279	It tells my brain work is done.
628299	630380	That's a good transition habit.
631080	633741	I also do a little tidy up in the room.
634261	636342	Not perfect cleaning, just simple.
637002	640023	Yes, a clean space can influence your mood.
640723	641223	Exactly.
641763	642944	Then dinner time.
643404	643944	Do you cook?
644664	645525	Sometimes I cook.
645745	647025	Sometimes I keep it simple.
647505	650246	I don't want dinner to become a big stress project.
650826	651226	Same.
651526	653467	Dinner can be simple and still healthy.
653845	656267	I try to eat without my phone in my hand.
656687	657147	Me too.
657448	658769	I want a mindful meal.
659269	662611	And after dinner, I take five minutes to clean the kitchen area.
663012	663972	That's a great habit.
664373	666814	When you wake up, you feel better if the kitchen is clean.
667255	669756	Yes, it saves time in the morning routine.
670217	673299	After dinner, I like to do something relaxing, but not too heavy.
673659	674099	Like what?
674520	676641	Sometimes I read a short book chapter.
677122	678683	Sometimes I watch a light show.
679063	681745	I like listening to a podcast or calling a friend.
682321	682821	That's nice.
683061	685862	Talking to a friend can help you recharge emotionally.
686262	688563	Yes, and it can make you feel connected.
689003	691344	Also, evenings are good for gentle learning.
691724	692965	Like English listening?
693405	693925	Exactly.
694265	695285	Ten minutes is enough.
695726	697686	Listeners, here's an easy sentence.
698166	700767	In the evening, I relax and recharge.
701248	701748	Great.
701968	702408	And another.
702988	705069	After work, I need a transition.
705489	705869	Nice.
706149	708110	You're using vocabulary in real life.
708608	710009	Yes, that's the goal.
710389	711950	Do you exercise in the evening?
712410	714211	Sometimes, light exercise.
714611	716993	Maybe a walk, yoga, or stretching.
717453	719754	I try to move a little, not too much.
720175	722656	If I exercise too late, I can't sleep well.
723076	723376	True.
723757	724617	Everyone is different.
725017	727799	The key is to notice what influences your sleep.
728199	728779	Great point.
729180	731581	Okay, now let's move to the night routine.
732121	734903	Night routines help us slow down and sleep better.
735468	738510	Night routine is my favorite part because it's quiet.
739011	739371	Same.
