start	end	text
1067	3169	This is your everyday English class.
3629	6731	Hello, welcome to English Cactus.
7192	8392	My name is Anna.
8793	9814	And my name is Brian.
10374	16879	This podcast will help you practice your English in a fun and natural way, improving your listening skills.
17580	18821	Let me ask you something.
19381	22484	Do you feel that your daily routine is boring?
23024	25306	Or maybe you think you don't have discipline.
26006	30710	Many people believe they need a perfect routine to improve their English.
31290	32912	But here is something important.
33472	35974	You don't need a perfect routine.
36514	39577	You need simple habits done every day.
40217	49620	In this episode, you will listen to a conversation about morning routines, study habits, exercise, sleep, and building consistency.
50220	55762	These are topics you can use in real conversations at school, at work, or with friends.
56480	59805	Don't worry if you don't understand everything the first time.
60126	61608	That's completely normal.
62289	68017	After the dialogue, we will explain the main phrases, vocabulary, and cultural points.
68658	70761	It will be much easier the second time.
71383	74826	So grab your coffee, relax, and let's begin.
75507	79310	And before we start, don't forget to subscribe to the channel.
79751	82053	Your support is really important to us.
82614	86197	And when you subscribe, you won't miss any new episodes.
86817	89540	Also, leave a comment telling us where you're from.
90040	92262	We love to know who is learning with us.
92903	94404	Now take a deep breath.
94865	95766	You're doing great.
96286	96827	Let's begin.
100758	101298	Hey, Maya.
101558	102339	How are you today?
102759	103399	Hi, Lucas.
103579	103979	I'm good.
104059	104520	Thank you.
104720	105020	And you?
105420	106240	I'm doing great.
106721	108681	I just finished my morning routine.
109122	109742	What about you?
110102	112343	How is your daily routine here in the city?
112903	115624	Oh, it's a little different from my country, to be honest.
115884	116885	I'm still adapting.
117305	120086	But I think I'm doing OK. You are doing great.
120406	120867	Trust me.
121367	123988	So tell me, what time do you usually wake up?
124478	127660	I usually wake up at 6.30 a.m. on weekdays.
128201	131884	I try to wake up early because I want to study English before my classes.
132324	133185	That's amazing!
133645	137768	Study English every day, even for 20 minutes, makes a big difference.
138268	140590	What do you usually do first when you wake up?
141130	142732	First, I turn off my alarm.
143292	147195	Sometimes I want to sleep five more minutes, but I try to be strong.
147795	149777	Then I make my bed and brush my teeth.
150238	151079	That's a good habit.
151479	154262	Making your bed in the morning helps you feel organized.
154742	157485	I always say, start small, but keep going.
157945	158226	Yes.
158826	160808	After that, I drink a glass of water.
161148	162530	I read that it's good for your body.
162970	163270	It is.
163611	164271	I do the same.
164752	166273	Then I usually make breakfast.
166634	167935	What do you eat for breakfast?
168495	171778	I normally eat oatmeal with fruit and drink coffee.
172219	174521	But sometimes I just have toast and eggs.
174881	175302	What about you?
175823	179945	I usually have cereal with milk, or sometimes I make scrambled eggs.
180526	182326	On weekends, I cook pancakes.
182667	183687	Do you like pancakes?
184167	187549	Yes, I love pancakes, but I don't cook them often.
187909	189530	I'm not very good at cooking yet.
189991	190591	That's okay.
190871	191451	You can learn.
191831	192612	Just practice.
193092	194853	Learn something new every week.
195193	198275	For example, this week you can learn how to make pancakes.
198814	199594	That's a good idea.
199614	200335	I will try.
200995	203416	After breakfast, I get ready for university.
203936	206777	I take a shower, get dressed, and pack my bag.
207257	210379	Do you prepare your bag the night before or in the morning?
